generation,fitness
1,2
2,2.238095238095238
3,2.6666666666666665
4,3.0476190476190474
5,3.619047619047619
6,4.142857142857143
7,4.476190476190476
8,4.9523809523809526
9,5.333333333333333
10,5.857142857142857
11,6.0476190476190474
12,6.333333333333333
13,6.809523809523809
14,7.142857142857143
15,8.19047619047619
16,8.666666666666666
17,8.952380952380953
18,9.380952380952381
19,9.571428571428571
20,9.857142857142858
21,10
22,10.19047619047619
23,10.285714285714286
24,10.523809523809524
25,10.761904761904763
26,11.095238095238095
27,11.761904761904763
28,11.761904761904763
29,12.285714285714286
30,12.428571428571429
31,12.619047619047619
32,13.142857142857142
33,13.333333333333334
34,13.333333333333334
35,14.047619047619047
36,14.285714285714286
37,14.428571428571429
38,14.619047619047619
39,14.761904761904763
40,15.142857142857142
41,15.714285714285714
42,16.38095238095238
43,16.904761904761905
44,17.047619047619047
45,17.238095238095237
46,17.714285714285715
47,18.19047619047619
48,18.61904761904762
49,18.904761904761905
50,19.333333333333332
51,19.571428571428573
52,19.80952380952381
53,19.80952380952381
54,20.047619047619047
55,20.333333333333332
56,21.095238095238095
57,21.285714285714285
58,21.714285714285715
59,21.761904761904763
60,22.095238095238095
61,22.238095238095237
62,22.904761904761905
63,23.19047619047619
64,23.523809523809526
65,23.761904761904763
66,24.19047619047619
67,24.38095238095238
68,24.61904761904762
69,24.80952380952381
70,25.095238095238095
71,25.523809523809526
72,25.666666666666668
73,25.80952380952381
74,26.952380952380953
75,27.142857142857142
76,27.285714285714285
77,27.38095238095238
78,27.428571428571427
79,27.714285714285715
80,28.19047619047619
81,28.285714285714285
82,28.523809523809526
83,28.904761904761905
84,29.571428571428573
85,30.047619047619047
86,30.61904761904762
87,30.904761904761905
88,31
89,31.61904761904762
90,31.666666666666668
91,31.904761904761905
92,32
93,32.19047619047619
94,32.666666666666664
95,33.38095238095238
96,33.666666666666664
97,33.80952380952381
98,34
99,34.38095238095238
100,34.61904761904762
101,34.95238095238095
102,35.23809523809524
103,35.61904761904762
104,36.142857142857146
105,36.23809523809524
106,36.61904761904762
107,37.04761904761905
108,37.476190476190474
109,37.857142857142854
110,38.04761904761905
111,38.42857142857143
112,39.19047619047619
113,39.666666666666664
114,40.095238095238095
115,40.285714285714285
116,40.61904761904762
117,40.857142857142854
118,40.904761904761905
119,41.19047619047619
120,41.42857142857143
121,41.714285714285715
122,42.19047619047619
123,42.523809523809526
124,43.095238095238095
125,43.285714285714285
126,43.333333333333336
127,43.714285714285715
128,44.142857142857146
129,44.285714285714285
130,45.04761904761905
131,45.333333333333336
132,45.80952380952381
133,46.19047619047619
134,46.714285714285715
135,47.095238095238095
136,47.23809523809524
137,47.76190476190476
138,48.19047619047619
139,48.857142857142854
140,49.095238095238095
141,49.476190476190474
142,49.857142857142854
143,50.095238095238095
144,50.42857142857143
145,50.57142857142857
146,50.95238095238095
147,51.04761904761905
148,51.285714285714285
149,51.523809523809526
150,52
151,52.19047619047619
152,52.666666666666664
153,52.80952380952381
154,53.523809523809526
155,54.095238095238095
156,54.285714285714285
157,54.76190476190476
158,55.095238095238095
159,55.42857142857143
160,55.523809523809526
161,56.142857142857146
162,56.285714285714285
163,56.57142857142857
164,57.095238095238095
165,57.666666666666664
166,58
167,58.285714285714285
168,58.57142857142857
169,58.95238095238095
170,59.38095238095238
171,59.714285714285715
172,59.80952380952381
173,60.333333333333336
174,60.80952380952381
175,61.04761904761905
176,61.38095238095238
177,61.857142857142854
178,62.333333333333336
179,62.523809523809526
180,62.857142857142854
181,63.57142857142857
182,63.95238095238095
183,64.04761904761905
184,64.66666666666667
185,64.76190476190476
186,64.9047619047619
187,65.42857142857143
188,65.66666666666667
189,65.71428571428571
190,66.33333333333333
191,67.04761904761905
192,67.19047619047619
193,67.23809523809524
194,67.61904761904762
195,67.85714285714286
196,68.57142857142857
197,69
198,69.0952380952381
199,69.42857142857143
200,69.61904761904762
201,70
202,70.9047619047619
203,71.14285714285714
204,71.57142857142857
205,72
206,72
207,72
208,72.19047619047619
209,72.57142857142857
210,73
211,73.61904761904762
212,73.61904761904762
213,74.28571428571429
214,74.71428571428571
215,75
216,75.61904761904762
217,75.80952380952381
218,75.95238095238095
219,76.19047619047619
220,76.38095238095238
221,76.57142857142857
222,77.0952380952381
223,77.23809523809524
224,77.42857142857143
225,78.19047619047619
226,78.61904761904762
227,79.23809523809524
228,79.57142857142857
229,79.80952380952381
230,80.0952380952381
231,80.23809523809524
232,80.33333333333333
233,80.57142857142857
234,80.76190476190476
235,80.9047619047619
236,81.04761904761905
237,81.38095238095238
238,81.57142857142857
239,82.04761904761905
240,82.80952380952381
241,82.80952380952381
242,83.23809523809524
243,83.66666666666667
244,83.71428571428571
245,83.76190476190476
246,84.19047619047619
247,84.33333333333333
248,84.57142857142857
249,85.04761904761905
250,85.38095238095238
251,85.66666666666667
252,86.28571428571429
253,86.33333333333333
254,86.47619047619048
255,86.61904761904762
256,86.76190476190476
257,87.23809523809524
258,87.52380952380952
259,88
260,88.42857142857143
261,88.66666666666667
262,89.14285714285714
263,89.57142857142857
264,89.76190476190476
265,89.85714285714286
266,90.52380952380952
267,90.61904761904762
268,91.04761904761905
269,91.33333333333333
270,91.42857142857143
271,92
272,92.19047619047619
273,92.47619047619048
274,92.66666666666667
275,93.14285714285714
276,93.71428571428571
277,94
278,94.14285714285714
279,94.66666666666667
280,95.23809523809524
281,95.28571428571429
282,95.33333333333333
283,95.66666666666667
284,96
285,96.76190476190476
286,96.95238095238095
287,97.23809523809524
288,97.33333333333333
289,97.9047619047619
290,98.42857142857143
291,98.71428571428571
292,98.80952380952381
293,98.9047619047619
294,99.38095238095238
295,99.80952380952381
296,100.57142857142857
297,101.0952380952381
298,101.19047619047619
299,101.23809523809524
300,101.33333333333333
301,101.57142857142857
302,101.76190476190476
303,102.19047619047619
304,102.33333333333333
305,102.80952380952381
306,103.23809523809524
307,103.47619047619048
308,104
309,104.28571428571429
310,104.47619047619048
311,104.95238095238095
312,105.19047619047619
313,105.19047619047619
314,105.33333333333333
